LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity
,,,(quality),(micron),(micron),(micron),(frame),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,(micron),(micron),(micron),(micron),(radians),,(micron^2),(micron),,
ID374533,374533,0,49.0,50.15014912630633,107.51688589235405,0.0,14.0,14,1.1921216874241027,1,,33109.04081632652,32793.0,32471.0,35518.0,1622343.0,639.9709615542357,35799.469387755096,35765.0,32366.0,38627.0,1754174.0,1542.1714682826398,-0.8295935705399391,-503.72757688271815,-0.8206022617088341,-212.36828871713365,-0.010860803463751926,-0.4362087484693822,1.7123798402651662,1.0686698615783021,1.3309045354239912,1.6023469004133593,4.464687335555523,16.893970919285017,0.1965791396060944,0.5511363636363624
ID377572,377572,0,73.0,47.16900301658164,110.81667401037335,0.0,12.0,12,1.4423773499395893,1,,33403.347222222226,32818.0,32696.0,37184.0,2405041.0,966.44274634559,36336.472222222226,35833.0,32516.0,43067.0,2616226.0,2362.7952232098237,-0.8321899145563935,-342.80586416919823,-0.8221966863713016,-142.22716196813383,-0.09822538860809023,0.03497793285470847,2.0308514803030246,1.2693251895967732,-0.6217410114845879,1.5999457798108976,6.535934037617383,18.14161050896611,0.24955475384856707,0.6173913043478256
ID374500,374500,0,85.0,50.91282637185258,107.94671306926726,0.0,15.0,15,1.582824547310617,1,,33034.30588235294,32791.0,32579.0,35077.0,2807916.0,562.3181615828697,35065.21176470587,34686.0,32375.0,42888.0,2980543.0,1944.4218879737423,-0.8319185725603573,-581.5327307266236,-0.825624888216657,-170.77104563439332,0.0083262198916335,0.002448548511187027,1.8276281406013197,1.5888313802851899,2.4762395587282096,1.1502971072193116,7.8707374678350135,13.764712168905495,0.5220246631406118,0.7600000000000019
ID361543,361543,0,142.0,45.5169325805764,113.79278456724516,0.0,0.0,0,2.0217936275370736,1,,33557.49645390071,32820.0,32400.0,38057.0,4731607.0,1172.9457886883013,37464.04255319147,36551.0,32463.0,49792.0,5282430.0,3234.6888564707874,-0.8304450665978392,-280.24771943880853,-0.8153176500140532,-102.26183306922252,-0.1358959762430436,0.13623148056169748,3.208569370560774,1.3925745892326238,-0.568472708079889,2.304055664500421,12.841729552783441,23.516486373171265,0.29180216909629775,0.6957605985037403
ID380359,380359,0,105.0,49.28545338906534,109.67748438286961,0.0,16.0,16,1.7414856270330075,1,,33290.442307692305,32800.0,32454.0,37141.0,3462206.0,902.0584639409125,35978.72115384614,35838.0,31554.0,44173.0,3741787.0,2280.5062351329384,-0.8310558718973736,-363.07972327301394,-0.8214437813694195,-145.1601205773914,-0.04640789167836447,0.06178169175525611,2.961684852163277,1.1322167144523205,2.796775572012425,2.6158285903736305,9.527734829484492,22.83929150771653,0.2295272589777769,0.6509433962264164
ID381799,381799,0,22.0,51.317249875452845,109.32854265952837,0.0,19.0,19,0.8119718603448369,1,,33265.27272727273,32806.0,32741.0,35465.0,731836.0,751.5879178568521,34965.63636363636,35165.0,32762.0,37224.0,769244.0,1143.7835103789173,-0.8473077021291876,-491.20787122070595,-0.843173109025656,-328.71824958888527,-0.07896847326241643,0.0283486332536393,1.1071324825378168,0.7094664109322747,1.630843149659034,1.5605143040993144,2.0712467020618375,9.122424278840041,0.31276716935014826,0.6923076923076887
ID357647,357647,0,17.0,43.34809766389979,114.69482161946117,0.0,4.0,4,0.7160918713516357,1,,33151.117647058825,32792.0,32393.0,34359.0,563569.0,623.5047997362311,34631.94117647059,34650.0,32756.0,38001.0,588743.0,1507.1322300393983,-0.8355228302466967,-540.183191387323,-0.8331331729114001,-229.45625047912054,-0.042768384378742676,0.13931266486652125,0.9017709202755235,0.8366750063495356,2.9588600775690486,1.077803105664654,1.610969657159207,5.686942386019863,0.625949890191214,0.8749999999999999
ID375151,375151,0,19.0,50.99430796733907,108.67522495569457,0.0,13.0,13,0.755904664442728,1,,33169.73684210527,32795.0,32745.0,35074.0,630225.0,719.7955606439976,36547.368421052626,35817.0,32791.0,40361.0,694400.0,2040.9639936539334,-0.8241556987537338,-431.96029145136487,-0.8128453979984027,-155.54576978023303,0.08541395845390758,0.048114918658768706,0.9000309352118245,0.7612038091135145,1.1769259465753013,1.1823783912221693,1.7950804751202547,7.301986220761972,0.4230695504758325,0.7647058823529403
ID362089,362089,0,146.0,45.652399630514296,113.17940645501693,0.0,1.0,1,2.0469995080587338,1,,33319.37762237763,32800.0,32381.0,37415.0,4764671.0,917.2340755526207,36270.14685314684,35745.0,31824.0,45304.0,5186631.0,2606.9152375455305,-0.8334061811396313,-363.4498794423006,-0.821889147367709,-128.40302708603687,0.019303410596358442,-0.16292591679147203,3.5767897089673926,1.4798594381816743,2.7249699342169595,2.416979354040711,13.163923484215287,31.43329043071735,0.16742315541008074,0.6203904555314529
